,index,start,arrival,KPrange,Kp,K,InRangeGlobal,InRangeLocal,timingKp,timingK,Onsetdst
174,CME-20241222T213600,2024-12-22T21:36:00,2024-12-25T16:00:00,3.0 - 5.0,1,1,no,no,M,M,FA
175,CME-20241223T113600,2024-12-23T11:36:00,2024-12-25T16:50:00,4.75 - 6.75,0.33333333,1,no,no,FA,FA,FA
176,CME-20241223T213600,2024-12-23T21:36:00,2024-12-28T04:00:00,2.0 - 4.0,0.66666667,1,no,no,FA,M,FA
177,CME-20241224T003600,2024-12-24T00:36:00,2024-12-28T06:00:00,2.0 - 4.0,0,0,no,no,FA,M,FA
178,CME-20241224T092400,2024-12-24T09:24:00,2024-12-28T01:30:00,2.5 - 4.5,0.66666667,1,no,no,FA,M,FA
179,CME-20241225T044800,2024-12-25T04:48:00,2024-12-27T21:00:00,3.0 - 5.0,0.66666667,1,no,no,FA,FA,FA
180,CME-20241225T171200,2024-12-25T17:12:00,2024-12-29T20:00:00,2.0 - 4.0,0.33333333,0,no,no,FA,M,FA
181,CME-20241226T191200,2024-12-26T19:12:00,2024-12-30T13:00:00,2.0 - 3.0,1,1,no,no,M,M,FA
182,CME-20241228T064800,2024-12-28T06:48:00,2025-01-01T10:00:00,2.0 - 4.0,,,no,no,,,FA
183,CME-20241229T012300,2024-12-29T01:23:00,2024-12-31T16:51:00,4.66667 - 6.33333,,,no,no,,,FA
184,CME-20241229T062400,2024-12-29T06:24:00,2024-12-31T16:11:00,5.11111 - 7.22222,,,no,no,,,FA
185,CME-20241229T182400,2024-12-29T18:24:00,2025-01-01T04:48:00,4.8 - 6.4,,,no,no,,,FA
